,Date,Hour,Number_of_Incidents,Total_Volume,Average_Speed
3214,4/26/2018,0,1,4374,36.27230047
2193,3/10/2018,6,3,4378,40.04428044
1948,2/26/2018,0,7,4381,38.24096386
1772,2/18/2018,3,5,4392,39.62992126
23,1/1/2018,23,3,4395,37.18367347
2535,3/24/2018,6,2,4397,38.49084249
2556,3/25/2018,3,2,4414,37.8030303
1379,12/30/2017,2,6,4425,37.20779221
3192,4/25/2018,0,3,4434,36.31797235
1840,2/20/2018,0,2,4445,39.89849624
2380,3/18/2018,7,7,4461,37.96218487
2217,3/11/2018,7,1,4469,39.14963504
2397,3/19/2018,0,1,4486,38.76095618
534,1/6/2018,2,3,4487,35.37788018
1524,12/8/2017,6,16,4488,38.38679245
2440,3/20/2018,0,2,4489,39.232
2190,3/10/2018,3,2,4520,38.53731343
761,11/25/2017,1,4,4521,38.73544974
3486,5/1/2018,0,3,4538,38.07719298
2809,4/1/2018,7,1,4576,38.82978723
1470,12/6/2017,0,8,4577,36.71153846
135,1/19/2018,0,5,4578,37.21681416
2329,3/16/2018,3,1,4603,38.13937282
2011,2/3/2018,2,3,4606,37.48969072
538,1/6/2018,7,2,4625,34.13122172
1591,2/10/2018,2,8,4631,37.19565217
2892,4/13/2018,1,2,4637,38.49647887
47,1/11/2018,0,7,4653,37.11065574
94,1/17/2018,6,10,4653,37.71204188
182,1/20/2018,2,7,4703,36.7038835
3074,4/20/2018,1,3,4712,37.99647887
1927,2/25/2018,3,3,4731,39.41434263
1402,12/31/2017,2,5,4738,35.27848101
1309,12/24/2017,8,2,4739,36.1314741
1862,2/22/2018,0,4,4748,38.00746269
3307,4/3/2018,0,6,4757,38.54166667
1681,2/14/2018,0,3,4766,38.16544118
2600,3/27/2018,0,1,4779,38.0295203
2962,4/16/2018,0,2,4818,38.23958333
9,1/1/2018,9,2,4820,38.7295082
3169,4/24/2018,0,3,4831,37.83391003
2735,3/7/2018,0,3,4836,39.12222222
806,11/26/2017,23,4,4842,37.53497942
71,1/12/2018,0,2,4850,34.67932489
1383,12/30/2017,7,1,4863,37.11618257
2577,3/26/2018,0,2,4888,38.38257576
1232,12/21/2017,0,3,4889,36.86602871
743,11/24/2017,7,8,4913,39.78571429
3124,4/22/2018,3,1,4921,37.77304965
1024,12/13/2017,0,2,4922,36.65416667
227,1/21/2018,23,3,4935,36.99038462
1990,2/28/2018,0,4,4937,39.04411765
1971,2/27/2018,0,1,4954,39.55421687
1518,12/8/2017,0,5,4999,36.51442308
3145,4/23/2018,0,5,4999,38.71830986
1816,2/2/2018,0,3,5016,36.20952381
2463,3/21/2018,0,3,5017,39.65827338
722,11/23/2017,8,5,5028,38.91707317
1357,12/3/2017,2,4,5028,38.68041237
2945,4/15/2018,7,2,5100,38.58450704
562,1/7/2018,8,5,5109,37.62660944
3329,4/30/2018,0,7,5114,37.728223
2684,3/4/2018,7,1,5132,39.08679245
3465,4/9/2018,0,3,5139,38.08127208
2282,3/14/2018,2,2,5147,37.91134752
557,1/7/2018,2,2,5162,35.5
1362,12/3/2017,8,9,5163,36.67281106
187,1/20/2018,7,7,5164,37.54883721
206,1/21/2018,2,6,5175,37.40669856
3287,4/29/2018,3,2,5181,38.35106383
2636,3/29/2018,0,4,5185,36.38596491
390,1/28/2018,23,5,5192,37.39035088
2259,3/13/2018,1,2,5213,37.08076923
1331,12/29/2017,0,3,5214,36.01265823
2016,2/3/2018,7,4,5217,35.51184834
3290,4/29/2018,7,1,5235,39.07220217
346,1/27/2018,2,3,5251,36.96888889
1046,12/14/2017,0,3,5254,37.67083333
1377,12/3/2017,23,3,5269,37.80952381
3351,4/4/2018,0,3,5291,37.8466899
212,1/21/2018,8,1,5310,36.74208145
2165,3/1/2018,0,1,5320,39.39607843
2035,2/4/2018,2,5,5325,36.2961165
533,1/6/2018,1,1,5331,34.88235294
2846,4/11/2018,0,3,5349,38.35438596
181,1/20/2018,1,3,5367,36.21634615
2235,3/12/2018,1,4,5371,38.4
2141,2/9/2018,0,4,5389,37.00813008
438,1/3/2018,23,3,5390,34.24215247
2560,3/25/2018,7,7,5403,38.20817844
351,1/27/2018,7,6,5408,36.47639485
1774,2/18/2018,6,5,5437,38.364
1125,12/17/2017,8,3,5507,36.07258065
1337,12/29/2017,6,7,5534,38.33739837
2075,2/5/2018,23,2,5541,37.27572016
2214,3/11/2018,4,6,5545,38.18888889
2304,3/15/2018,2,3,5611,38.14642857
1620,2/11/2018,8,3,5612,37.42798354
1188,12/2/2017,2,5,5618,38.16371681
2682,3/30/2018,10,14,5634,35.30909091
1445,12/4/2017,23,2,5657,38.51643192
2661,3/3/2018,2,2,5676,39.20816327
1302,12/24/2017,0,4,5679,36.19617225
1635,2/11/2018,23,5,5701,36.21138211
3373,4/5/2018,0,2,5708,38.09507042
1119,12/17/2017,2,4,5711,36.47325103
2010,2/3/2018,1,3,5712,37.0195122
3236,4/27/2018,0,4,5755,35.7281106
736,11/23/2017,22,3,5756,36.75242718
2869,4/12/2018,0,3,5779,38.55944056
2486,3/22/2018,0,4,5783,39.09688581
2055,2/4/2018,23,4,5790,37.09274194
1261,12/22/2017,6,8,5791,38.00938967
1100,12/16/2017,7,4,5792,36.768
931,12/1/2017,0,2,5812,37.03043478
89,1/16/2018,21,3,5817,36.70901639
791,11/26/2017,8,3,5838,36.53784861
274,1/23/2018,23,2,5841,36.44651163
1256,12/22/2017,0,1,5842,37.77464789
2917,4/14/2018,2,4,5861,39.08695652
1193,12/2/2017,7,2,5868,36.30172414
1544,12/9/2017,2,5,5883,35.82083333
162,1/2/2018,6,1,5890,38.5483871
111,1/17/2018,23,4,5904,36.19565217
1906,2/24/2018,2,7,5904,39.02
767,11/25/2017,8,2,5990,38.07216495
461,1/30/2018,23,2,6008,36.8539823
2095,2/6/2018,23,2,6011,36.25203252
1590,2/10/2018,1,4,6021,36.67479675
345,1/27/2018,1,1,6022,36.52863436
1401,12/31/2017,1,7,6044,35.79423868
556,1/7/2018,1,4,6053,35.55045872
783,11/26/2017,0,4,6081,37.4611399
1749,2/17/2018,2,1,6101,39.19272727
421,1/3/2018,6,10,6102,35.34821429
1596,2/10/2018,7,6,6117,36.61538462
3007,4/18/2018,0,4,6157,38.34593023
1548,12/9/2017,7,7,6161,36.384
1279,12/23/2017,0,3,6163,35.99043062
2533,3/24/2018,2,10,6170,37.71851852
2782,3/9/2018,0,3,6207,38.48333333
375,1/28/2018,8,2,6208,36.58723404
508,1/4/2018,23,3,6216,34.76470588
3421,4/7/2018,2,3,6220,37.65614035
1615,2/11/2018,2,3,6224,34.91428571
1500,12/7/2017,6,4,6234,38.61574074
250,1/22/2018,23,1,6239,35.66028708
1882,2/23/2018,0,1,6253,36.50390625
828,11/27/2017,23,2,6256,37.60655738
1792,2/19/2018,0,2,6273,39.16236162
3444,4/8/2018,2,2,6304,37.64335664
2281,3/14/2018,1,1,6309,37.65140845
2040,2/4/2018,8,4,6324,36.02811245
1286,12/23/2017,8,7,6332,37.57075472
370,1/28/2018,2,5,6335,36.96396396
304,1/25/2018,6,4,6348,38.35211268
962,12/10/2017,8,5,6356,36.43881857
178,1/2/2018,22,4,6359,35.47926267
1469,12/5/2017,23,5,6397,36.81395349
3533,5/3/2018,0,4,6402,38.34602076
1704,2/15/2018,0,4,6415,38.55636364
2328,3/16/2018,2,2,6418,38.25
1476,12/6/2017,6,13,6422,37.70697674
1095,12/16/2017,2,2,6430,37.29338843
205,1/21/2018,1,3,6440,36.38571429
2419,3/2/2018,0,7,6446,38.53703704
22,1/1/2018,22,2,6483,36.61133603
2303,3/15/2018,1,3,6483,37.23021583
2941,4/15/2018,2,3,6485,38.74418605
599,1/8/2018,23,1,6487,36.63967611
1356,12/3/2017,1,4,6504,37.80295567
369,1/28/2018,1,4,6528,36.82296651
1140,12/17/2017,23,2,6532,36.20164609
76,1/12/2018,6,10,6550,36.39090909
622,1/9/2018,23,1,6560,37.016
2034,2/4/2018,1,5,6571,36.13875598
491,1/4/2018,6,4,6608,36.36363636
2825,4/1/2018,23,4,6609,38.56842105
281,1/24/2018,6,4,6612,38.63207547
2673,3/30/2018,0,4,6645,35.75115207
1069,12/15/2017,0,4,6655,36.06854839
1428,12/4/2017,6,7,6656,39.6635514
1771,2/18/2018,2,3,6665,38.83941606
3262,4/28/2018,2,6,6688,38.3556338
3,1/1/2018,3,2,6691,35.86419753
257,1/23/2018,6,8,6716,38.06635071
1970,2/26/2018,23,1,6716,39.44537815
1926,2/25/2018,2,6,6723,39.48594378
957,12/10/2017,2,2,6728,37.37295082
298,1/24/2018,23,1,6729,36.19811321
2916,4/14/2018,1,4,6783,38.60629921
514,1/5/2018,6,5,6809,36.44394619
3099,4/21/2018,2,4,6822,38.67474048
1726,2/16/2018,0,4,6823,38.76895307
1947,2/25/2018,23,4,6836,38.54
1452,12/5/2017,6,9,6847,37.93023256
2189,3/10/2018,2,10,6861,38.74253731
3029,4/19/2018,0,1,6870,38.03886926
1493,12/6/2017,23,3,6873,36.20379147
2660,3/3/2018,1,2,6883,38.4488189
3129,4/22/2018,8,3,6905,37.87272727
2713,3/5/2018,23,6,6911,38.52140078
1932,2/25/2018,8,2,6919,38.53281853
1187,12/2/2017,1,2,6923,36.37662338
1384,12/30/2017,8,3,6928,37.26953125
2555,3/25/2018,2,5,6938,38.00746269
1815,2/19/2018,23,4,6944,39.03663004
3128,4/22/2018,7,1,6950,38.94586895
850,11/28/2017,23,1,6958,36.48412698
735,11/23/2017,21,2,6975,37.13942308
484,1/31/2018,23,7,6999,36.84549356
1911,2/24/2018,7,4,7003,38.25193798
3191,4/24/2018,23,2,7019,36.62211982
2396,3/18/2018,23,6,7020,38.27165354
977,12/10/2017,23,1,7023,36.60323887
3213,4/25/2018,23,1,7061,35.92237443
1238,12/21/2017,6,5,7099,39.27314815
1118,12/17/2017,1,4,7105,36.25819672
1775,2/18/2018,7,4,7108,37.71705426
1543,12/9/2017,1,7,7127,35.75308642
3556,5/4/2018,0,4,7135,37.75432526
2117,2/7/2018,23,3,7163,35.69721116
2757,3/7/2018,23,3,7171,38.11885246
539,1/6/2018,8,4,7182,34.41333333
2508,3/23/2018,0,4,7182,38.27173913
2381,3/18/2018,8,6,7194,38.54440154
3448,4/8/2018,7,2,7197,37.17164179
1408,12/31/2017,9,8,7226,37.07142857
874,11/29/2017,23,9,7227,36.15450644
233,1/22/2018,6,9,7228,38.04109589
734,11/23/2017,20,4,7237,36.44444444
1657,2/12/2018,23,7,7240,36.656
1905,2/24/2018,1,2,7242,38.67063492
1748,2/17/2018,1,2,7246,39.13483146
2532,3/24/2018,1,4,7264,37.61313869
3286,4/29/2018,2,5,7266,36.90747331
88,1/16/2018,20,3,7278,35.9561753
2234,3/12/2018,0,1,7283,38.11397059
1075,12/15/2017,6,8,7289,38.68979592
1094,12/16/2017,1,6,7298,36.88163265
744,11/24/2017,8,4,7300,38.6
1822,2/2/2018,6,8,7317,38.28846154
2327,3/16/2018,1,2,7329,36.79655172
1614,2/11/2018,1,3,7335,34.65725806
1185,12/19/2017,23,1,7345,36.33333333
117,1/18/2018,6,5,7362,38.61038961
532,1/6/2018,0,4,7369,34.1875
759,11/24/2017,23,6,7380,37.12820513
2377,3/18/2018,3,6,7385,37.02008032
2357,3/17/2018,7,5,7390,38.47098976
3123,4/22/2018,2,9,7405,37.42307692
134,1/18/2018,23,2,7407,36.6969697
2940,4/15/2018,1,4,7409,38.39453125
3104,4/21/2018,7,4,7426,37.43205575
760,11/25/2017,0,1,7434,37.72631579
226,1/21/2018,22,6,7450,36.54883721
1517,12/7/2017,23,4,7451,36.08962264
805,11/26/2017,22,6,7466,37.81376518
444,1/30/2018,6,2,7483,38.26146789
2418,3/19/2018,23,3,7488,38.56640625
3395,4/6/2018,0,5,7488,37.97610922
1330,12/28/2017,23,5,7492,36.01239669
576,1/7/2018,22,5,7505,37.008
180,1/20/2018,0,6,7507,35.44651163
2353,3/17/2018,3,4,7519,37.96389892
140,1/19/2018,6,8,7530,38.40772532
3579,5/4/2018,23,2,7537,37.04347826
2697,3/4/2018,23,3,7545,38.84046693
397,1/29/2018,6,2,7552,37.82683983
937,12/1/2017,6,5,7579,38.83116883
1051,12/14/2017,6,6,7599,38.15662651
1163,12/18/2017,23,3,7600,35.536
1770,2/18/2018,1,6,7660,37.66420664
1215,12/20/2017,6,5,7664,38.5462963
2218,3/11/2018,8,8,7685,38.48028674
3425,4/7/2018,7,3,7705,37.7716263
3261,4/28/2018,1,3,7708,37.53333333
888,11/30/2017,6,7,7709,38.13247863
2213,3/11/2018,3,6,7746,37.82656827
3350,4/30/2018,23,6,7747,38.48275862
10,1/1/2018,10,4,7758,37.86746988
1680,2/13/2018,23,1,7759,37.18545455
2678,3/30/2018,6,7,7774,37.58974359
70,1/11/2018,23,1,7775,35.05284553
3073,4/20/2018,0,6,7795,37.78892734
1791,2/18/2018,23,5,7797,38.41090909
2576,3/25/2018,23,1,7802,37.92391304
3420,4/7/2018,1,4,7814,34.90753425
2922,4/14/2018,7,9,7815,39.13740458
2985,4/16/2018,23,1,7828,37.58823529
2961,4/15/2018,23,6,7851,38.08219178
1376,12/3/2017,22,6,7859,37.2037037
29,1/10/2018,6,6,7861,38.8553719
326,1/26/2018,6,6,7884,38.87878788
321,1/25/2018,23,4,7902,36.62393162
1310,12/24/2017,9,2,7924,37.23045267
2554,3/25/2018,1,2,7929,38.16849817
2734,3/6/2018,23,2,7947,38.05415162
3168,4/23/2018,23,2,7948,37.95454545
956,12/10/2017,1,3,7952,36.27530364
3443,4/8/2018,1,3,7960,36.39084507
1640,2/12/2018,6,2,7997,38.54618474
3072,4/2/2018,23,7,8001,37.69924812
2891,4/13/2018,0,3,8017,37.51041667
2665,3/3/2018,7,5,8020,38.25855513
605,1/9/2018,6,4,8025,39.028
1378,12/30/2017,0,4,8034,36.12
3242,4/27/2018,6,6,8036,37.18636364
2258,3/13/2018,0,1,8039,37.23636364
2946,4/15/2018,8,3,8069,38.30769231
1588,2/1/2018,23,2,8075,36.42924528
46,1/10/2018,23,4,8076,36.692
2623,3/27/2018,23,1,8091,37.74652778
723,11/23/2017,9,4,8101,38.01970443
2599,3/26/2018,23,3,8132,38.09454545
0,1/1/2018,0,9,8136,34.32653061
555,1/7/2018,0,3,8143,34.79262673
3485,4/9/2018,23,3,8159,38.43205575
1925,2/25/2018,1,2,8160,38.20542636
3464,4/8/2018,23,2,8182,37.87285223
3098,4/21/2018,1,2,8184,37.14634146
733,11/23/2017,19,9,8189,37.26213592
582,1/8/2018,6,12,8200,38.3
1168,12/19/2017,6,6,8204,37.50806452
857,11/29/2017,6,5,8237,38.6733871
1028,12/13/2017,6,6,8255,37.804
782,11/25/2017,23,4,8265,36.92857143
1989,2/27/2018,23,3,8269,38.2967033
2140,2/8/2018,23,6,8286,36.48163265
1634,2/11/2018,22,2,8288,37.04780876
2009,2/3/2018,0,2,8303,36.11267606
1663,2/13/2018,6,9,8310,37.21912351
1571,2/1/2018,6,5,8327,38.73245614
53,1/11/2018,6,7,8328,38.448
389,1/28/2018,22,6,8336,36.7639485
2017,2/3/2018,8,10,8338,35.10194175
413,1/29/2018,22,6,8344,36.25641026
467,1/31/2018,6,5,8344,38.69298246
2536,3/24/2018,7,1,8349,37.325
2280,3/14/2018,0,7,8357,37.54166667
3144,4/22/2018,23,3,8358,38.15625
2147,2/9/2018,6,6,8363,39.22529644
177,1/2/2018,21,6,8369,34.24107143
984,12/11/2017,6,10,8393,38.3625498
2561,3/25/2018,8,10,8414,37.63533835
1851,2/21/2018,12,12,8441,33.74647887
2058,2/5/2018,6,7,8441,38.056
2194,3/10/2018,7,3,8468,39.0609319
833,11/28/2017,6,10,8473,38.37051793
2810,4/1/2018,8,4,8479,38.80204778
1146,12/18/2017,6,9,8481,38.37301587
3306,4/29/2018,23,1,8495,37.6816609
2685,3/4/2018,8,7,8515,38.04029304
3509,5/1/2018,23,2,8539,37.50342466
344,1/27/2018,0,7,8541,35.98712446
2123,2/8/2018,6,2,8562,38.55870445
2788,3/9/2018,6,6,8584,40.04453441
437,1/3/2018,22,7,8601,34.57077626
3196,4/25/2018,6,7,8613,37.53181818
3285,4/29/2018,1,2,8618,37.37809187
1400,12/31/2017,0,4,8624,35.344
21,1/1/2018,21,1,8626,37.03658537
1886,2/23/2018,6,5,8656,37.64478764
1798,2/19/2018,6,6,8661,39.81654676
188,1/20/2018,8,6,8668,36.6682243
3218,4/26/2018,6,7,8685,37.38356164
2100,2/7/2018,6,5,8688,37.56972112
249,1/22/2018,22,6,8723,36.11374408
731,11/23/2017,17,2,8728,37.6875
1589,2/10/2018,0,1,8761,35.71774194
2053,2/4/2018,21,5,8787,37.0438247
2078,2/6/2018,6,11,8792,37.684
2188,3/10/2018,1,5,8830,38.16483516
2462,3/20/2018,23,4,8832,37.68600683
732,11/23/2017,18,8,8854,37.6875
2033,2/4/2018,0,4,8854,36.28773585
905,11/30/2017,23,6,8866,36.42857143
2302,3/15/2018,0,1,8883,37.33101045
204,1/21/2018,0,5,8886,35.12903226
3267,4/28/2018,7,4,8892,38.59589041
758,11/24/2017,22,8,8906,36.88265306
3122,4/22/2018,1,3,8912,37.12714777
2,1/1/2018,2,9,8959,35.10080645
598,1/8/2018,22,2,8996,36.508
1278,12/22/2017,23,1,9002,34.10138249
2212,3/11/2018,1,6,9007,37.72426471
730,11/23/2017,16,4,9019,37.95774648
2635,3/28/2018,23,5,9041,36.64827586
1444,12/4/2017,22,9,9045,38.21962617
3328,4/3/2018,23,8,9046,37.50342466
1006,12/12/2017,6,8,9052,38.27642276
811,11/27/2017,6,2,9083,38.24596774
2781,3/8/2018,23,6,9124,37.51405622
3006,4/17/2018,23,2,9132,37.50704225
2240,3/12/2018,6,4,9158,39.40925267
724,11/23/2017,10,5,9217,37.31578947
2074,2/5/2018,22,5,9231,37.28630705
213,1/21/2018,9,6,9234,36.68807339
2262,3/13/2018,6,4,9246,38.65949821
2290,3/14/2018,12,12,9314,34.47887324
507,1/4/2018,22,2,9335,34.09333333
352,1/27/2018,8,17,9353,36.54273504
745,11/24/2017,9,6,9370,37.45098039
2845,4/10/2018,23,3,9400,38.14482759
563,1/7/2018,9,4,9416,37.50793651
1301,12/23/2017,23,2,9416,34.74056604
827,11/27/2017,22,5,9419,36.55555556
3291,4/29/2018,8,3,9440,37.83838384
1954,2/26/2018,6,4,9468,38.81923077
3235,4/26/2018,23,7,9493,35.26027397
729,11/23/2017,15,3,9507,36.69014085
768,11/25/2017,9,3,9534,37.285
87,1/16/2018,19,5,9551,35.65863454
1363,12/3/2017,9,10,9559,37.3196347
20,1/1/2018,20,2,9587,35.59760956
2582,3/26/2018,6,2,9601,39.72759857
1023,12/12/2017,23,4,9612,35.33333333
2352,3/17/2018,2,3,9613,37.2195122
2445,3/20/2018,6,7,9614,39.26171875
2376,3/18/2018,2,17,9617,36.97111913
225,1/21/2018,21,8,9643,36.41203704
2764,3/8/2018,6,11,9643,39.51626016
1613,2/11/2018,0,4,9659,34.88709677
1355,12/3/2017,0,4,9674,36.89099526
82,1/16/2018,14,4,9694,34.907173
1045,12/13/2017,23,5,9731,36.28915663
2332,3/16/2018,6,6,9744,39.27027027
1730,2/16/2018,6,10,9750,40.2080292
273,1/23/2018,22,4,9751,35.97272727
1656,2/12/2018,22,2,9751,35.97637795
1231,12/20/2017,23,5,9772,34.66037736
2868,4/11/2018,23,9,9792,37.61433447
2401,3/19/2018,6,6,9796,39.48828125
2659,3/3/2018,0,4,9801,38.02298851
1101,12/16/2017,8,7,9824,37.128
2326,3/16/2018,0,4,9828,37.27874564
3372,4/4/2018,23,2,9854,37.56551724
3532,5/2/2018,23,7,9886,38.18771331
2606,3/27/2018,6,6,9887,39.28673835
1621,2/11/2018,9,4,9937,37.80321285
1126,12/17/2017,9,2,9953,36.6746988
1776,2/18/2018,8,4,9973,38.03435115
1186,12/2/2017,0,6,9976,34.57438017
3468,4/9/2018,6,10,9994,39.50342466
1881,2/22/2018,23,3,9999,36.23228346
157,1/19/2018,23,8,10034,35.1040724
1139,12/17/2017,22,2,10045,36.29644269
575,1/7/2018,21,11,10051,36.61044177
757,11/24/2017,21,6,10052,34.73056995
2915,4/14/2018,0,13,10068,37.70656371
2052,2/4/2018,20,3,10075,36.32142857
728,11/23/2017,14,3,10092,37.18309859
3028,4/18/2018,23,5,10117,37.91258741
781,11/25/2017,22,5,10132,36.62755102
2186,3/1/2018,23,5,10146,37.75090253
1,1/1/2018,1,2,10149,34.58964143
1287,12/23/2017,9,6,10149,37.28504673
2513,3/23/2018,6,11,10160,39.81294964
1904,2/24/2018,0,10,10166,38.13043478
621,1/9/2018,22,1,10228,36.55952381
460,1/30/2018,22,2,10235,36.42424242
792,11/26/2017,9,4,10258,37.38671875
531,1/5/2018,23,3,10272,33.11659193
2696,3/4/2018,22,1,10272,38.31203008
368,1/28/2018,0,5,10285,35.8122449
2285,3/14/2018,6,5,10291,38.92758621
2308,3/15/2018,6,11,10305,39.55290102
804,11/26/2017,21,5,10325,37.3253012
2485,3/21/2018,23,4,10326,38.12371134
1542,12/9/2017,0,3,10387,35.04819277
1117,12/17/2017,0,5,10395,34.94779116
1864,2/22/2018,6,5,10409,38.26978417
2233,3/11/2018,23,8,10412,37.52898551
1597,2/10/2018,8,11,10433,35.70866142
1708,2/15/2018,6,9,10434,39.74368231
2093,2/6/2018,21,5,10461,34.92631579
1399,12/30/2017,23,2,10489,35.96370968
554,1/6/2018,23,8,10504,34.66071429
1703,2/14/2018,23,8,10521,37.5658363
2658,3/29/2018,23,7,10523,35.30769231
1194,12/2/2017,8,13,10538,35.48347107
2351,3/17/2018,1,7,10570,36.96206897
110,1/17/2018,22,5,10574,36.34361233
3311,4/3/2018,6,10,10581,39.41666667
1747,2/17/2018,0,8,10592,38.06521739
1492,12/6/2017,22,7,10599,35.31308411
1839,2/2/2018,23,6,10637,35.22065728
1845,2/20/2018,6,7,10684,39.24731183
1468,12/5/2017,22,3,10686,36.86574074
1686,2/14/2018,6,13,10699,39.19133574
2094,2/6/2018,22,4,10707,36.05179283
2375,3/18/2018,1,6,10713,36.86111111
297,1/24/2018,22,4,10743,35.75925926
1549,12/9/2017,8,7,10745,36.11155378
3212,4/25/2018,22,3,10785,35.78538813
1320,12/24/2017,19,4,10791,35.64
1255,12/21/2017,23,3,10826,35.42056075
1633,2/11/2018,21,6,10868,36.23809524
376,1/28/2018,9,10,10872,36.38135593
1516,12/7/2017,22,4,10877,35.31192661
83,1/16/2018,15,4,10879,35.63137255
1329,12/28/2017,22,1,10915,35.62601626
1093,12/16/2017,0,6,10918,35.21653543
2717,3/6/2018,6,2,10926,39.7338403
1924,2/25/2018,0,1,10949,37.48062016
2968,4/16/2018,6,7,10960,39.20338983
3401,4/6/2018,6,8,10995,39.49152542
388,1/28/2018,21,4,10999,36.08474576
1969,2/26/2018,22,3,10999,38.50205761
1946,2/25/2018,22,2,11030,38.55813953
2939,4/15/2018,0,9,11034,37.20689655
133,1/18/2018,22,3,11045,35.84848485
2824,4/1/2018,22,3,11063,37.73630137
3011,4/18/2018,6,9,11092,39.23214286
1409,12/31/2017,10,8,11096,36.36758893
963,12/10/2017,9,5,11097,36.42801556
2641,3/29/2018,6,7,11104,38.75257732
3260,4/28/2018,0,6,11107,36.40878378
203,1/20/2018,23,2,11119,34.77981651
3079,4/20/2018,6,7,11119,39.26351351
1912,2/24/2018,8,12,11133,37.14166667
3449,4/8/2018,8,3,11134,36.6294964
1375,12/3/2017,21,4,11137,36.83410138
2490,3/22/2018,6,9,11139,39.81632653
727,11/23/2017,13,10,11144,36.39269406
1354,12/29/2017,23,6,11162,35.54509804
1725,2/15/2018,23,3,11172,37.975
2897,4/13/2018,6,9,11172,39.16723549
343,1/26/2018,23,10,11184,36.05172414
2257,3/12/2018,23,4,11210,36.48363636
2395,3/18/2018,22,7,11220,37.9844358
11,1/1/2018,11,6,11233,37.50403226
45,1/10/2018,22,7,11256,36.52208835
3562,5/4/2018,6,8,11257,38.91186441
2712,3/5/2018,22,3,11261,38.36538462
2187,3/10/2018,0,7,11277,37.20727273
849,11/28/2017,22,7,11290,36.99601594
80,1/12/2018,10,8,11306,34.27586207
2740,3/7/2018,6,6,11314,40.14336918
3190,4/24/2018,22,4,11315,36.07798165
756,11/24/2017,20,11,11339,36.59390863
176,1/2/2018,20,9,11368,33.93636364
540,1/6/2018,9,4,11371,34.29777778
3056,4/2/2018,6,4,11375,39.25510204
3538,5/3/2018,6,6,11392,39.6
1184,12/19/2017,22,2,11396,36.08636364
1422,12/31/2017,23,8,11400,32.872
1385,12/30/2017,9,3,11420,37.66796875
248,1/22/2018,21,4,11442,34.94711538
224,1/21/2018,20,8,11453,35.25892857
2423,3/2/2018,6,6,11455,39.50179211
436,1/3/2018,21,1,11466,34.78475336
2032,2/3/2018,23,3,11467,35.37850467
955,12/10/2017,0,10,11482,35.144
2531,3/24/2018,0,5,11483,37.35272727
1995,2/28/2018,6,7,11494,39.72202166
1790,2/18/2018,22,7,11513,37.7311828
483,1/31/2018,22,2,11550,36.67094017
2553,3/25/2018,0,5,11559,36.78057554
976,12/10/2017,22,1,11566,35.95180723
2041,2/4/2018,9,6,11575,37.01581028
3355,4/4/2018,6,9,11579,38.91275168
2507,3/22/2018,23,4,11602,37.54545455
3033,4/19/2018,6,4,11621,39.21621622
95,1/17/2018,7,20,11624,36.96428571
84,1/16/2018,16,1,11655,35.73306773
780,11/25/2017,21,10,11674,36.92385787
3555,5/3/2018,23,2,11674,37.81724138
1525,12/8/2017,7,15,11688,36.70046083
2873,4/12/2018,6,5,11692,39.45578231
3377,4/5/2018,6,10,11693,39.30536913
86,1/16/2018,18,4,11704,34.8968254
2279,3/13/2018,23,4,11726,36.75767918
3515,5/2/2018,6,7,11730,38.94863014
3333,4/30/2018,6,11,11737,39.33333333
2468,3/21/2018,6,12,11785,39.56055363
2051,2/4/2018,19,10,11797,36.07228916
2116,2/7/2018,22,8,11816,35.82608696
873,11/29/2017,22,2,11822,36.66382979
1814,2/19/2018,22,8,11827,38.57664234
2828,4/10/2018,6,8,11857,39.35986159
2851,4/11/2018,6,12,11857,38.88135593
1300,12/23/2017,22,5,11885,34.66046512
2164,2/9/2018,23,9,11915,34.82995951
1754,2/17/2018,8,4,11927,38
3394,4/5/2018,23,8,11955,37.09246575
69,1/11/2018,22,9,11966,35.359375
1311,12/24/2017,10,5,11971,36.84942085
3151,4/23/2018,6,4,11976,38.98979592
3174,4/24/2018,6,3,11989,39.05067568
3419,4/7/2018,0,11,11992,35.46391753
1612,2/10/2018,23,3,12012,35.044
506,1/4/2018,21,2,12014,34.27312775
1277,12/22/2017,22,2,12027,34.82629108
3442,4/8/2018,0,7,12031,35.88316151
1933,2/25/2018,9,6,12037,38.27307692
2301,3/14/2018,23,3,12051,36.88474576
2756,3/7/2018,22,7,12052,37.32244898
1000,12/11/2017,22,2,12082,35.26209677
1587,2/1/2018,22,9,12115,35.74766355
3050,4/19/2018,23,5,12136,37.59793814
2890,4/12/2018,23,2,12155,37.52758621
19,1/1/2018,19,1,12189,36.11952191
2960,4/15/2018,22,6,12209,37.38095238
2575,3/25/2018,22,5,12221,37.9566787
3097,4/21/2018,0,4,12221,36.77054795
597,1/8/2018,21,6,12223,36.18972332
574,1/7/2018,20,4,12247,35.664
320,1/25/2018,22,2,12252,35.96536797
2211,3/11/2018,0,7,12269,36.36956522
3284,4/29/2018,0,5,12277,36.49140893
3492,5/1/2018,6,7,12295,38.93856655
367,1/27/2018,23,6,12313,35.27234043
1068,12/14/2017,23,10,12349,35.26294821
1162,12/18/2017,22,4,12357,34.76984127
1443,12/4/2017,21,8,12406,37.26728111
726,11/23/2017,12,6,12418,36.1042654
2417,3/19/2018,22,5,12425,37.8046875
